Summary,Priority,Severity
Searching for references ignores selected working set [search],P3,normal
Boundary matchers don't work in Find/Replace dialog,P3,major
[find/replace] Incremental find should live in its own status bar space,P3,enhancement
[hovering] Mouse wheel does not dismiss hover,P3,minor
[navigation] Go To Next/Previous Annotation problems with sub-annotations,P3,normal
[navigation] abnormal lineup/linedown refresh when using ctrl related key mappings,P3,normal
Found the followng exception in the log,P3,normal
[RCP] Invalid Menu Extension: org.eclipse.ui.edit.text.gotoLastEditPosition,P3,normal
Cannot start editing Java file while CVS synchronization is occurring,P3,critical
[content assist] should filter setters for final fields,P3,normal
NPE restoring scrapbook editor,P3,major
TextNavigationAction sends invalid selection events -- patch included,P3,major
Memory leak in SpellCheckEngine,P3,major
[preferences][templates] 'New/Edit Template' dialog closes dialog on ESC instead of Code Assistant,P3,minor
"[misc] ""the the"" typo",P3,trivial
[performance] Opening a class file editor should not compute all overriding indicators,P3,normal
Javadoc view fails to create [javadoc view],P3,major
[misc] mark occurrences: exit points only shown when exceptions enabled,P3,normal
Java Editor Text Hover prefs: Error Message stays unless row selected,P3,minor
[preferences] Java Editor Text Hover prefs: Table should not allow multi-row selection,P3,trivial
JavaDoc view should use a style sheet,P3,normal
Encoding support for XML files doesn't work,P3,normal
Menu cleanup: Text related menus,P3,normal
Adding packages does not update Java Browsing package view. [browsing],P3,normal
[projection][rulers] Not all annotation types in folded region rendered in rulers,P3,minor
[misc] highlight control statement when break/continue selected [mark occurrences],P3,enhancement
IllegalArgumentException in change method signature [refactoring],P3,normal
Highlight method exit points fail,P3,normal
[hovering] javaEditorTextHovers preferences panel not working,P3,major
[implementation] <packages prefixes=..../> should be removed,P3,normal
JavaTextFileBuffer cannot read non-UTF-8 files which have BOM,P3,major
Fonts preference page: Unneeded subcategory 'Java->Editor',P3,normal
packages view: not updated when project source folders change [browsing],P3,normal
packages view: keyboard focus lost after switching layout [browsing],P3,normal
[hovering] ArithmeticException when hovering over bookmark in overview ruler of one-line document,P3,minor
Restore Defaults in java hover preferences leads to wrong UI state,P3,normal
Open External File... needs mnemonic,P3,trivial
[encoding] Save external file should not change encoding,P3,normal
Checkbox with two mnemonics in Java Editor Navigation Preferences,P3,trivial
[projection] ReplaceAll not working after last collapsed annotation,P3,normal
Browsing perspective doesn't deal with deleted projects [browsing],P3,normal
'Navigate > Last Edit Location' has no mnemonic,P3,trivial
Remove warnings in latest build,P3,normal
Hover causes Does not exist entry in log,P3,normal
Editing a line with highlighted annotation removes syntax highlighting,P3,normal
[misc] OverrideIndicator failed to install,P3,normal
[EditorMgmt] Hide Editors command should be renamed,P3,normal
[implementation] A bug of  the IME composition string font.,P3,normal
[implementation] AnnotationModel not thread-safe,P3,normal
schema files -- missing &lt;pre&gt; and &lt;/pre&gt; tags in Examples section,P3,normal
file name patterns not remembered,P3,normal
[encoding] adopt long-running version of IFile#setCharset,P3,normal
[find/replace] incremental search does not cancel easily (Emacs key bindings),P3,major
[misc] Status editor always empty,P3,normal
[wording] Error dialog when no browser widget found for javadoc view,P3,minor
[misc] Open External file does not work for e.g. Microsoft Word documents,P3,normal
[rulers] Team menus should not appear in ruler context menu,P3,normal
[Wizards] Text and location of Open Untitled Text File,P3,minor
[preferences] Preview window in Preferences->Java->Properties File Editor displays incorrect background color,P3,minor
[typing] Undo is not grouped after Ctrl+X or Ctrl+Z in linked mode,P3,normal
[nls tooling] NLS hovers / Ctrl+Click not consistent for duplicate keys,P3,normal
[Compare] Full Javadoc line selected even though only a character has been added to a word,P3,normal
[nls tooling] Hyperlink navigation from ClassFile to .properties finds no key,P3,normal
[spell checking][nls toolsing] Add Quick Fix menu for Properties File editor,P3,normal
[misc] MarkerAnnotationPreferences unnecessarily reprocesses org.eclipse.ui.editors.markerAnnotationSpecification,P3,normal
[Dialogs] TwoPaneElementSelector: can't set sorter / initial order is not kept,P3,normal
[misc] adopt content type association for the text editors,P3,normal
[formatting] Javadoc comment formatter: some options don't work anymore,P3,normal
[content assist] NPE in JavaTypeCompletionProposal,P3,major
[5.0] Mark Occurrences should mark all declaration-equivalent types,P3,enhancement
[nls tooling] NPE in externalize string wizard,P3,normal
[reconciling] CME while spell checking,P3,major
[nls tooling] externalize strings wizard complains valid keys are invalid,P3,normal
[key binding] I18N: Shortcut for content assist conflicts with IME in Chinese,P3,normal
Java Browsing view help title looks strange,P3,trivial
[projection] Folded range indicator should be drawn with the same color as icon margin [folding],P3,trivial
[hovering] Javadoc hover's trigger region exceeds right side,P3,normal
[nls tooling] NLS: when switching to new Eclipse mode the common prefix should change,P3,trivial
[preferences] Incorrect hover description,P3,trivial
Focus changes slow when java browsing perspective open,P3,normal
[api][key bindings] Change FileBufferOperationHandler to enable org.eclipse.ui.handlers extension point,P3,normal
[implementation] useless statement in getAutoEditStrategies(...),P3,trivial
[misc] Opening a generated *.class file throws IllegalStateException,P3,major
[implementation] Editor.Editor.HippieCompletion.label,P3,normal
[Preferences] [Themes] Colors and Fonts preference page shows with no buttons,P3,normal
[preferences] Java Preference Pages using in accessible Color selection,P3,normal
missing component.xml coverage for text plug-ins,P3,normal
[api] must always explicitly set document provider once you do it once,P3,normal
3.1: TCT 164 - Translation Clarification,P3,normal
NPE in FileSpec,P3,normal
[find/replace] Find/Replace dialog does not show special characters in the replace field using regex mode,P3,minor
Replace dialog does not show special characters in the replace field using regex mode,P3,minor
[implementation] NullPointerException when typing in the details pane from Variables View,P3,normal
Empty working set name remains in working set group,P3,normal
[content assist] Content Assist doc needs to mention ContentAssistAction,P3,trivial
[browsing] Java Browser will not enable viewing Hierarchy for package in >1 folder,P3,minor
[jar exporter] Jar exporter generates unnecessary duplicate entry errors,P3,normal
'Selected resources' scope disabled but 'Enclosing projects' possible,P3,enhancement
[text edits] Exception when applying Convert to enhanced for loop,P3,normal
[Sync  View] Refresh (F5) does not refresh but start synchronizing,P3,normal
[implementation] Java editor updates two marker annotation models,P3,normal
[Import/Export]  Import file system doesn't include the top folder you select,P3,normal
[implementation] Convert line delimiters actions are not always enabled when they should be,P3,normal
[implementation] SelectionListenerWithASTManager not always notifying because of null astRoot,P3,major
"[implementation] dangerous uses of ""new GC(Display)""",P3,major
[api] DefaultInformationControl must continue to implement DisposeListener,P3,normal
[navigation] Menu items References/Declarations->Workspace/Project/Working set not present in Outline view,P3,major
[typing] Deletion not added to undo stack unless selection changes first,P3,normal
[Patch] Apply Patch error handling for invalid formats,P3,normal
[projection] expose projection model updater on JavaEditor,P3,enhancement
[key binding] Suggestions for AbstractInformationControl,P3,normal
[Perspectives] addShowInPart is not persisted in perspective,P3,normal
[doc] Provide package doc for quick assist and register ISV doc,P3,normal
[api] Must have a way to query quick assist context from source viewer,P3,normal
[api] remove 'selection' from IQuickAssistInvocationContext API methods,P3,normal
[typing] file save and cut& paste too slow,P3,major
[templates][preferences] Java Code Templates preferences: Cancel does not work after 'Restore Defaults',P3,major
[api] EditorsPlugin.getSharedTextColors() marked as 'Internal',P3,enhancement
[correction] Ruler Quick Assist resolutions don't show up for attributes in xml documents,P3,normal
[misc] Activate30JavaEditors performance test explanation not there,P3,normal
"JavaElementLabels should render all categeries, not just first one",P3,normal
[typing] Double click doesn't always select a word,P3,normal
[hovering] Don't read css file for each hover,P3,normal
[hovering] Wrong font in SourceViewerInformationControl,P3,normal
[rulers] close all did not complete normally,P3,normal
[key binding][content assist] Chinese content assist key bindings broken when moved down to org.eclipse.ui,P3,major
[misc] NPE after closing debugger,P3,normal
[misc] Simplify setup of ContentAssistAction,P3,enhancement
[Sync View] Compare editor opened by Synchronize view only shows right author,P3,normal
[content assist] CompletionProposalPopup in jface text framework introduced dependency on eclipse runtime platform,P3,normal
